Restaurant B,Shared_Voter_Count,Votes,Rank,Category A,Restaurant A,Category B
Zorch,116,229,1.0,BBQ,ZZQ,Pizza
Pizza Bones,64,124,2.0,BBQ,ZZQ,Pizza
8 ½ in The Fan,56,118,4.0,BBQ,ZZQ,Pizza
Belmont Pizza,48,120,3.0,BBQ,ZZQ,Pizza
Mary Angelas,38,94,6.0,BBQ,ZZQ,Pizza
TBT El Gallo,81,166,2.0,BBQ,ZZQ,Tacos
Dont Look Back,57,129,3.0,BBQ,ZZQ,Tacos
En Su Boca,55,111,4.0,BBQ,ZZQ,Tacos
Y Tu Mama,48,84,6.0,BBQ,ZZQ,Tacos
El Chido,46,98,5.0,BBQ,ZZQ,Tacos
Cobra Burger,172,317,1.0,BBQ,ZZQ,Burgers
Beauvine Burger Concept,78,180,2.0,BBQ,ZZQ,Burgers
Eazzy Burger,73,91,6.0,BBQ,ZZQ,Burgers
Smashed RVA,41,154,3.0,BBQ,ZZQ,Burgers
Cobra Cabana,34,110,4.0,BBQ,ZZQ,Burgers
Stanleys,90,158,2.0,BBQ,ZZQ,Sandwich
Garnetts,68,173,1.0,BBQ,ZZQ,Sandwich
Chioccas,58,126,4.0,BBQ,ZZQ,Sandwich
Secret Sandwich Society,58,120,5.0,BBQ,ZZQ,Sandwich
Perlys,51,115,6.0,BBQ,ZZQ,Sandwich
Lucky AF,141,268,1.0,BBQ,ZZQ,Sushi
Akida,95,196,2.0,BBQ,ZZQ,Sushi
Fighting Fish,57,126,3.0,BBQ,ZZQ,Sushi
Sumo San,29,55,8.0,BBQ,ZZQ,Sushi
Osaka Sushi and Steak,28,69,5.0,BBQ,ZZQ,Sushi
Goatocado,83,182,1.0,BBQ,ZZQ,Veg
821 Cafe,53,147,2.0,BBQ,ZZQ,Veg
Roots Natural Kitchen,48,119,3.0,BBQ,ZZQ,Veg
Nile Ethiopian,48,93,4.0,BBQ,ZZQ,Veg
Harrison Street Cafe,26,64,5.0,BBQ,ZZQ,Veg
Sabai,74,140,2.0,BBQ,ZZQ,Curry
Lemon Cuisine of India,69,183,1.0,BBQ,ZZQ,Curry
Tulsi Indian Cuisine,60,121,4.0,BBQ,ZZQ,Curry
Mekong,59,128,3.0,BBQ,ZZQ,Curry
Moms Siam,42,114,5.0,BBQ,ZZQ,Curry
Pho Tay Do,121,248,1.0,BBQ,ZZQ,Noodles
Mekong,96,210,2.0,BBQ,ZZQ,Noodles
Pho Luca,55,106,4.0,BBQ,ZZQ,Noodles
Pho Thein Phat / Pho So 1,49,125,3.0,BBQ,ZZQ,Noodles
Moms Siam,32,83,5.0,BBQ,ZZQ,Noodles
City Dogs,125,294,1.0,BBQ,ZZQ,Hot Dogs
Black Lodge,42,84,2.0,BBQ,ZZQ,Hot Dogs
Fat Kid Sandwiches inside Hatch Local,38,77,4.0,BBQ,ZZQ,Hot Dogs
Horne Dogs,30,71,5.0,BBQ,ZZQ,Hot Dogs
Melitos,28,57,9.0,BBQ,ZZQ,Hot Dogs
Fat Dragon,96,209,1.0,BBQ,ZZQ,Fried Rice
Peter Chang Richmond,60,128,2.0,BBQ,ZZQ,Fried Rice
Mekong,42,89,3.0,BBQ,ZZQ,Fried Rice
Sabai,27,71,4.0,BBQ,ZZQ,Fried Rice
Full Kee,24,44,7.0,BBQ,ZZQ,Fried Rice
Moore Street Cafe,88,171,1.0,BBQ,ZZQ,Breakfast
Perlys,80,161,2.0,BBQ,ZZQ,Breakfast
Joes Inn the Fan,50,128,3.0,BBQ,ZZQ,Breakfast
SBs Main Street Love Shack,49,107,4.0,BBQ,ZZQ,Breakfast
Nates Bagels,31,67,6.0,BBQ,ZZQ,Breakfast
Garnetts,64,137,1.0,BBQ,ZZQ,Lunch
Joes Inn In The Fan,63,123,4.0,BBQ,ZZQ,Lunch
Union Market,59,135,2.0,BBQ,ZZQ,Lunch
Kuba Kuba,56,135,2.0,BBQ,ZZQ,Lunch
Coppolas Deli,39,83,5.0,BBQ,ZZQ,Lunch
LOpossum,76,130,2.0,BBQ,ZZQ,Date Night
Edos Squid,59,139,1.0,BBQ,ZZQ,Date Night
Stellas,49,124,3.0,BBQ,ZZQ,Date Night
Alewife,45,75,5.0,BBQ,ZZQ,Date Night
Grisette,42,80,4.0,BBQ,ZZQ,Date Night
Perlys,80,163,1.0,BBQ,ZZQ,Brunch
LUNCH.SUPPER!,54,131,2.0,BBQ,ZZQ,Brunch
Moore Street Cafe,47,83,4.0,BBQ,ZZQ,Brunch
SBs Main Street Love Shack,44,107,3.0,BBQ,ZZQ,Brunch
Millies Diner,36,83,4.0,BBQ,ZZQ,Brunch
Smashed RVA,79,190,1.0,BBQ,ZZQ,Food Truck
Intergalactic Tacos,52,95,4.0,BBQ,ZZQ,Food Truck
River City Wood Fire,48,133,3.0,BBQ,ZZQ,Food Truck
1115 (Eleven Fifteen),40,136,2.0,BBQ,ZZQ,Food Truck
Auntie Nings,29,84,5.0,BBQ,ZZQ,Food Truck
Blanchards,71,146,1.0,BBQ,ZZQ,Cafe
Sub Rosa,59,97,3.0,BBQ,ZZQ,Cafe
Lamplighter Coffee Roasters,53,109,2.0,BBQ,ZZQ,Cafe
Sugar and Twine,33,76,4.0,BBQ,ZZQ,Cafe
Stir Crazy Cafe,30,62,6.0,BBQ,ZZQ,Cafe
Belmont Pizza,10,120,3.0,BBQ,Smohk RVA BBQ,Pizza
Capriccios Italian Restaurant,9,14,21.0,BBQ,Smohk RVA BBQ,Pizza
Bottoms Up Pizza,8,45,10.0,BBQ,Smohk RVA BBQ,Pizza
8 ½ in The Fan,7,118,4.0,BBQ,Smohk RVA BBQ,Pizza
Pupatella,5,38,13.0,BBQ,Smohk RVA BBQ,Pizza
Cabo Fish Taco,12,184,1.0,BBQ,Smohk RVA BBQ,Tacos
Wong Gonzalez,11,67,7.0,BBQ,Smohk RVA BBQ,Tacos
Chicano Boy Taco,8,23,19.0,BBQ,Smohk RVA BBQ,Tacos
TBT El Gallo,6,166,2.0,BBQ,Smohk RVA BBQ,Tacos
En Su Boca,5,111,4.0,BBQ,Smohk RVA BBQ,Tacos
Boulevard Burger and Brew,13,110,4.0,BBQ,Smohk RVA BBQ,Burgers
The Franklin inn,10,26,10.0,BBQ,Smohk RVA BBQ,Burgers
Cobra Burger,9,317,1.0,BBQ,Smohk RVA BBQ,Burgers
Beauvine Burger Concept,7,180,2.0,BBQ,Smohk RVA BBQ,Burgers
Burger Bach,6,68,7.0,BBQ,Smohk RVA BBQ,Burgers
Coppolas Deli,8,132,3.0,BBQ,Smohk RVA BBQ,Sandwich
Garnetts,7,173,1.0,BBQ,Smohk RVA BBQ,Sandwich
Perlys,6,115,6.0,BBQ,Smohk RVA BBQ,Sandwich
Union Market,5,108,7.0,BBQ,Smohk RVA BBQ,Sandwich
Chioccas,5,126,4.0,BBQ,Smohk RVA BBQ,Sandwich
Lucky AF,10,268,1.0,BBQ,Smohk RVA BBQ,Sushi
Osaka Sushi and Steak,8,69,5.0,BBQ,Smohk RVA BBQ,Sushi
Akida,7,196,2.0,BBQ,Smohk RVA BBQ,Sushi
LEVEL,5,66,7.0,BBQ,Smohk RVA BBQ,Sushi
Fighting Fish,4,126,3.0,BBQ,Smohk RVA BBQ,Sushi
Goatocado,9,182,1.0,BBQ,Smohk RVA BBQ,Veg
Roots Natural Kitchen,6,119,3.0,BBQ,Smohk RVA BBQ,Veg
Sen Organic Small Plate,3,51,6.0,BBQ,Smohk RVA BBQ,Veg
Palani Drive,3,23,13.0,BBQ,Smohk RVA BBQ,Veg
Nile Ethiopian,3,93,4.0,BBQ,Smohk RVA BBQ,Veg
Lemon Cuisine of India,9,183,1.0,BBQ,Smohk RVA BBQ,Curry
Tulsi Indian Cuisine,7,121,4.0,BBQ,Smohk RVA BBQ,Curry
Sabai,6,140,2.0,BBQ,Smohk RVA BBQ,Curry
Mekong,4,128,3.0,BBQ,Smohk RVA BBQ,Curry
NAMA - Indian Cuisine,4,36,13.0,BBQ,Smohk RVA BBQ,Curry
Pho Tay Do,9,248,1.0,BBQ,Smohk RVA BBQ,Noodles
Mekong,8,210,2.0,BBQ,Smohk RVA BBQ,Noodles
Vietnam 1,5,76,7.0,BBQ,Smohk RVA BBQ,Noodles
Slurp Ramen,4,27,11.0,BBQ,Smohk RVA BBQ,Noodles
Pho Thein Phat / Pho So 1,4,125,3.0,BBQ,Smohk RVA BBQ,Noodles
City Dogs,11,294,1.0,BBQ,Smohk RVA BBQ,Hot Dogs
Boulevard Burger and Brew,8,79,3.0,BBQ,Smohk RVA BBQ,Hot Dogs
Horne Dogs,6,71,5.0,BBQ,Smohk RVA BBQ,Hot Dogs
Carytown Burgers and Fries,4,44,11.0,BBQ,Smohk RVA BBQ,Hot Dogs
Melitos,4,57,9.0,BBQ,Smohk RVA BBQ,Hot Dogs
Fat Dragon,15,209,1.0,BBQ,Smohk RVA BBQ,Fried Rice
Sabai,6,71,4.0,BBQ,Smohk RVA BBQ,Fried Rice
Peter Chang Richmond,4,128,2.0,BBQ,Smohk RVA BBQ,Fried Rice
Lucky AF,2,49,6.0,BBQ,Smohk RVA BBQ,Fried Rice
Mekong,2,89,3.0,BBQ,Smohk RVA BBQ,Fried Rice
Joes Inn the Fan,6,128,3.0,BBQ,Smohk RVA BBQ,Breakfast
McLeans Restaurant,6,40,12.0,BBQ,Smohk RVA BBQ,Breakfast
Perlys,4,161,2.0,BBQ,Smohk RVA BBQ,Breakfast
Millies Diner,4,77,5.0,BBQ,Smohk RVA BBQ,Breakfast
McLeans,4,31,17.0,BBQ,Smohk RVA BBQ,Breakfast
Coppolas Deli,5,83,5.0,BBQ,Smohk RVA BBQ,Lunch
New York Deli,5,51,7.0,BBQ,Smohk RVA BBQ,Lunch
Cobra Cabana,4,61,6.0,BBQ,Smohk RVA BBQ,Lunch
Joes Inn In The Fan,4,123,4.0,BBQ,Smohk RVA BBQ,Lunch
Chioccas,3,50,9.0,BBQ,Smohk RVA BBQ,Lunch
Pinkys,4,42,8.0,BBQ,Smohk RVA BBQ,Date Night
Stellas,4,124,3.0,BBQ,Smohk RVA BBQ,Date Night
Red Salt Chophouse and Sushi,4,44,7.0,BBQ,Smohk RVA BBQ,Date Night
Helens,3,39,11.0,BBQ,Smohk RVA BBQ,Date Night
The Roosevelt,3,62,6.0,BBQ,Smohk RVA BBQ,Date Night
LUNCH.SUPPER!,6,131,2.0,BBQ,Smohk RVA BBQ,Brunch
Pinkys,5,36,14.0,BBQ,Smohk RVA BBQ,Brunch
Godfreys,5,24,17.0,BBQ,Smohk RVA BBQ,Brunch
Perlys,4,163,1.0,BBQ,Smohk RVA BBQ,Brunch
The Daily,3,21,18.0,BBQ,Smohk RVA BBQ,Brunch
Smashed RVA,8,190,1.0,BBQ,Smohk RVA BBQ,Food Truck
Sammich,6,44,10.0,BBQ,Smohk RVA BBQ,Food Truck
River City Wood Fire,5,133,3.0,BBQ,Smohk RVA BBQ,Food Truck
Carytown Burgers,3,39,13.0,BBQ,Smohk RVA BBQ,Food Truck
Intergalactic Tacos,3,95,4.0,BBQ,Smohk RVA BBQ,Food Truck
Stir Crazy Cafe,6,62,6.0,BBQ,Smohk RVA BBQ,Cafe
Crossroads Coffee,6,43,12.0,BBQ,Smohk RVA BBQ,Cafe
Blanchards,4,146,1.0,BBQ,Smohk RVA BBQ,Cafe
The Smoky Mug,4,75,5.0,BBQ,Smohk RVA BBQ,Cafe
Lamplighter Coffee Roasters,4,109,2.0,BBQ,Smohk RVA BBQ,Cafe
Zorch,15,229,1.0,BBQ,The Smoky Mug,Pizza
8 ½ in The Fan,12,118,4.0,BBQ,The Smoky Mug,Pizza
Pizza Bones,11,124,2.0,BBQ,The Smoky Mug,Pizza
Hot For Pizza,8,95,5.0,BBQ,The Smoky Mug,Pizza
Belmont Pizza,8,120,3.0,BBQ,The Smoky Mug,Pizza
TBT El Gallo,14,166,2.0,BBQ,The Smoky Mug,Tacos
Y Tu Mama,13,84,6.0,BBQ,The Smoky Mug,Tacos
La Milpa,9,62,8.0,BBQ,The Smoky Mug,Tacos
Dont Look Back,8,129,3.0,BBQ,The Smoky Mug,Tacos
El Chido,8,98,5.0,BBQ,The Smoky Mug,Tacos
Cobra Burger,14,317,1.0,BBQ,The Smoky Mug,Burgers
Cobra Cabana,14,110,4.0,BBQ,The Smoky Mug,Burgers
Beauvine Burger Concept,13,180,2.0,BBQ,The Smoky Mug,Burgers
Slay Burgers,8,26,10.0,BBQ,The Smoky Mug,Burgers
Smashed RVA,8,154,3.0,BBQ,The Smoky Mug,Burgers
Garnetts,21,173,1.0,BBQ,The Smoky Mug,Sandwich
Coppolas Deli,9,132,3.0,BBQ,The Smoky Mug,Sandwich
Fat Kid Sandwiches in Hatch Local,9,90,8.0,BBQ,The Smoky Mug,Sandwich
Perlys,8,115,6.0,BBQ,The Smoky Mug,Sandwich
Stanleys,8,158,2.0,BBQ,The Smoky Mug,Sandwich
Lucky AF,19,268,1.0,BBQ,The Smoky Mug,Sushi
Fighting Fish,11,126,3.0,BBQ,The Smoky Mug,Sushi
Akida,11,196,2.0,BBQ,The Smoky Mug,Sushi
Miyabi Sushi,9,68,6.0,BBQ,The Smoky Mug,Sushi
LEVEL,9,66,7.0,BBQ,The Smoky Mug,Sushi
Goatocado,16,182,1.0,BBQ,The Smoky Mug,Veg
Roots Natural Kitchen,12,119,3.0,BBQ,The Smoky Mug,Veg
821 Cafe,8,147,2.0,BBQ,The Smoky Mug,Veg
Gold Lion Cafe,5,20,14.0,BBQ,The Smoky Mug,Veg
Soul N Vinegar,5,39,11.0,BBQ,The Smoky Mug,Veg
Lemon Cuisine of India,17,183,1.0,BBQ,The Smoky Mug,Curry
Tulsi Indian Cuisine,11,121,4.0,BBQ,The Smoky Mug,Curry
Mekong,11,128,3.0,BBQ,The Smoky Mug,Curry
Thai Top Ten,7,52,9.0,BBQ,The Smoky Mug,Curry
Sabai,6,140,2.0,BBQ,The Smoky Mug,Curry
Mekong,15,210,2.0,BBQ,The Smoky Mug,Noodles
Pho Tay Do,13,248,1.0,BBQ,The Smoky Mug,Noodles
Pho Thein Phat / Pho So 1,10,125,3.0,BBQ,The Smoky Mug,Noodles
My Noodle,9,78,6.0,BBQ,The Smoky Mug,Noodles
Pho Luca,7,106,4.0,BBQ,The Smoky Mug,Noodles
City Dogs,22,294,1.0,BBQ,The Smoky Mug,Hot Dogs
Black Lodge,11,84,2.0,BBQ,The Smoky Mug,Hot Dogs
Horne Dogs,9,71,5.0,BBQ,The Smoky Mug,Hot Dogs
Ellies Hot Dogs and Ice Cream,6,69,6.0,BBQ,The Smoky Mug,Hot Dogs
Boulevard Burger and Brew,5,79,3.0,BBQ,The Smoky Mug,Hot Dogs
Fat Dragon,13,209,1.0,BBQ,The Smoky Mug,Fried Rice
Peter Chang Richmond,10,128,2.0,BBQ,The Smoky Mug,Fried Rice
Sabai,8,71,4.0,BBQ,The Smoky Mug,Fried Rice
KOGI,5,21,12.0,BBQ,The Smoky Mug,Fried Rice
Mekong,5,89,3.0,BBQ,The Smoky Mug,Fried Rice
Moore Street Cafe,17,171,1.0,BBQ,The Smoky Mug,Breakfast
Perlys,11,161,2.0,BBQ,The Smoky Mug,Breakfast
Joes Inn the Fan,9,128,3.0,BBQ,The Smoky Mug,Breakfast
SBs Main Street Love Shack,8,107,4.0,BBQ,The Smoky Mug,Breakfast
Nates Bagels,6,67,6.0,BBQ,The Smoky Mug,Breakfast
Garnetts,14,137,1.0,BBQ,The Smoky Mug,Lunch
Union Market,12,135,2.0,BBQ,The Smoky Mug,Lunch
Joes Inn In The Fan,11,123,4.0,BBQ,The Smoky Mug,Lunch
Kuba Kuba,8,135,2.0,BBQ,The Smoky Mug,Lunch
Cobra Cabana,6,61,6.0,BBQ,The Smoky Mug,Lunch
Edos Squid,13,139,1.0,BBQ,The Smoky Mug,Date Night
LOpossum,7,130,2.0,BBQ,The Smoky Mug,Date Night
Stellas,7,124,3.0,BBQ,The Smoky Mug,Date Night
Grisette,6,80,4.0,BBQ,The Smoky Mug,Date Night
Lost Letter,5,27,15.0,BBQ,The Smoky Mug,Date Night
SBs Main Street Love Shack,11,107,3.0,BBQ,The Smoky Mug,Brunch
Moore Street Cafe,11,83,4.0,BBQ,The Smoky Mug,Brunch
Perlys,11,163,1.0,BBQ,The Smoky Mug,Brunch
821 Cafe,5,48,11.0,BBQ,The Smoky Mug,Brunch
The Liberty Public House,5,55,10.0,BBQ,The Smoky Mug,Brunch
Smashed RVA,9,190,1.0,BBQ,The Smoky Mug,Food Truck
Auntie Nings,8,84,5.0,BBQ,The Smoky Mug,Food Truck
1115 (Eleven Fifteen),7,136,2.0,BBQ,The Smoky Mug,Food Truck
River City Wood Fire,6,133,3.0,BBQ,The Smoky Mug,Food Truck
Fireside Pizza,6,34,14.0,BBQ,The Smoky Mug,Food Truck
The Smoky Mug,37,75,5.0,BBQ,The Smoky Mug,Cafe
Blanchards,13,146,1.0,BBQ,The Smoky Mug,Cafe
Perk! Coffee,5,46,11.0,BBQ,The Smoky Mug,Cafe
Sub Rosa,4,97,3.0,BBQ,The Smoky Mug,Cafe
Sugar and Twine,4,76,4.0,BBQ,The Smoky Mug,Cafe
8 ½ in The Fan,11,118,4.0,BBQ,Alamo / Frontier by Alamo,Pizza
Pizza Bones,9,124,2.0,BBQ,Alamo / Frontier by Alamo,Pizza
Mary Angelas,7,94,6.0,BBQ,Alamo / Frontier by Alamo,Pizza
Belmont Pizza,7,120,3.0,BBQ,Alamo / Frontier by Alamo,Pizza
Zorch,7,229,1.0,BBQ,Alamo / Frontier by Alamo,Pizza
Dont Look Back,13,129,3.0,BBQ,Alamo / Frontier by Alamo,Tacos
Cabo Fish Taco,10,184,1.0,BBQ,Alamo / Frontier by Alamo,Tacos
TBT El Gallo,7,166,2.0,BBQ,Alamo / Frontier by Alamo,Tacos
El Chido,7,98,5.0,BBQ,Alamo / Frontier by Alamo,Tacos
La Milpa,5,62,8.0,BBQ,Alamo / Frontier by Alamo,Tacos
Cobra Burger,19,317,1.0,BBQ,Alamo / Frontier by Alamo,Burgers
Smashed RVA,10,154,3.0,BBQ,Alamo / Frontier by Alamo,Burgers
Beauvine Burger Concept,8,180,2.0,BBQ,Alamo / Frontier by Alamo,Burgers
Cobra Cabana,8,110,4.0,BBQ,Alamo / Frontier by Alamo,Burgers
Carytown Burger and Fries,6,60,8.0,BBQ,Alamo / Frontier by Alamo,Burgers
Coppolas Deli,13,132,3.0,BBQ,Alamo / Frontier by Alamo,Sandwich
Chioccas,12,126,4.0,BBQ,Alamo / Frontier by Alamo,Sandwich
Garnetts,11,173,1.0,BBQ,Alamo / Frontier by Alamo,Sandwich
Union Market,9,108,7.0,BBQ,Alamo / Frontier by Alamo,Sandwich
Secret Sandwich Society,9,120,5.0,BBQ,Alamo / Frontier by Alamo,Sandwich
Akida,16,196,2.0,BBQ,Alamo / Frontier by Alamo,Sushi
Lucky AF,13,268,1.0,BBQ,Alamo / Frontier by Alamo,Sushi
Fighting Fish,12,126,3.0,BBQ,Alamo / Frontier by Alamo,Sushi
Sumo San,6,55,8.0,BBQ,Alamo / Frontier by Alamo,Sushi
Sticky Rice,6,96,4.0,BBQ,Alamo / Frontier by Alamo,Sushi
Goatocado,15,182,1.0,BBQ,Alamo / Frontier by Alamo,Veg
821 Cafe,14,147,2.0,BBQ,Alamo / Frontier by Alamo,Veg
Nile Ethiopian,9,93,4.0,BBQ,Alamo / Frontier by Alamo,Veg
Roots Natural Kitchen,4,119,3.0,BBQ,Alamo / Frontier by Alamo,Veg
Soul N Vinegar,4,39,11.0,BBQ,Alamo / Frontier by Alamo,Veg
Lemon Cuisine of India,19,183,1.0,BBQ,Alamo / Frontier by Alamo,Curry
Moms Siam,14,114,5.0,BBQ,Alamo / Frontier by Alamo,Curry
Mekong,7,128,3.0,BBQ,Alamo / Frontier by Alamo,Curry
Tulsi Indian Cuisine,7,121,4.0,BBQ,Alamo / Frontier by Alamo,Curry
Elephant Thai,6,54,8.0,BBQ,Alamo / Frontier by Alamo,Curry
Pho Tay Do,17,248,1.0,BBQ,Alamo / Frontier by Alamo,Noodles
Mekong,10,210,2.0,BBQ,Alamo / Frontier by Alamo,Noodles
Grace Noodle,7,48,8.0,BBQ,Alamo / Frontier by Alamo,Noodles
Vietnam 1,7,76,7.0,BBQ,Alamo / Frontier by Alamo,Noodles
Slurp Ramen,6,27,11.0,BBQ,Alamo / Frontier by Alamo,Noodles
City Dogs,19,294,1.0,BBQ,Alamo / Frontier by Alamo,Hot Dogs
Fat Kid Sandwiches inside Hatch Local,8,77,4.0,BBQ,Alamo / Frontier by Alamo,Hot Dogs
Joeys Hot Dogs,5,62,7.0,BBQ,Alamo / Frontier by Alamo,Hot Dogs
Black Lodge,5,84,2.0,BBQ,Alamo / Frontier by Alamo,Hot Dogs
Bamboo Cafe,5,43,12.0,BBQ,Alamo / Frontier by Alamo,Hot Dogs
Peter Chang Richmond,9,128,2.0,BBQ,Alamo / Frontier by Alamo,Fried Rice
Sabai,7,71,4.0,BBQ,Alamo / Frontier by Alamo,Fried Rice
Moms Siam,5,50,5.0,BBQ,Alamo / Frontier by Alamo,Fried Rice
The Patio Thai,5,29,9.0,BBQ,Alamo / Frontier by Alamo,Fried Rice
Fat Dragon,5,209,1.0,BBQ,Alamo / Frontier by Alamo,Fried Rice
Joes Inn the Fan,13,128,3.0,BBQ,Alamo / Frontier by Alamo,Breakfast
Perlys,10,161,2.0,BBQ,Alamo / Frontier by Alamo,Breakfast
Millies Diner,6,77,5.0,BBQ,Alamo / Frontier by Alamo,Breakfast
Early Bird Biscuit,6,51,8.0,BBQ,Alamo / Frontier by Alamo,Breakfast
Dots Back Inn,6,34,16.0,BBQ,Alamo / Frontier by Alamo,Breakfast
Union Market,12,135,2.0,BBQ,Alamo / Frontier by Alamo,Lunch
Garnetts,11,137,1.0,BBQ,Alamo / Frontier by Alamo,Lunch
Kuba Kuba,9,135,2.0,BBQ,Alamo / Frontier by Alamo,Lunch
Joes Inn In The Fan,8,123,4.0,BBQ,Alamo / Frontier by Alamo,Lunch
Chioccas,6,50,9.0,BBQ,Alamo / Frontier by Alamo,Lunch
Stellas,11,124,3.0,BBQ,Alamo / Frontier by Alamo,Date Night
LOpossum,9,130,2.0,BBQ,Alamo / Frontier by Alamo,Date Night
Edos Squid,8,139,1.0,BBQ,Alamo / Frontier by Alamo,Date Night
Grisette,6,80,4.0,BBQ,Alamo / Frontier by Alamo,Date Night
Pinkys,5,42,8.0,BBQ,Alamo / Frontier by Alamo,Date Night
LUNCH.SUPPER!,9,131,2.0,BBQ,Alamo / Frontier by Alamo,Brunch
Perlys,8,163,1.0,BBQ,Alamo / Frontier by Alamo,Brunch
Can Can,6,62,8.0,BBQ,Alamo / Frontier by Alamo,Brunch
Lulus,6,58,9.0,BBQ,Alamo / Frontier by Alamo,Brunch
Joes Inn the Fan,6,71,6.0,BBQ,Alamo / Frontier by Alamo,Brunch
Smashed RVA,10,190,1.0,BBQ,Alamo / Frontier by Alamo,Food Truck
Auntie Nings,9,84,5.0,BBQ,Alamo / Frontier by Alamo,Food Truck
River City Wood Fire,7,133,3.0,BBQ,Alamo / Frontier by Alamo,Food Truck
Goatocado,7,54,6.0,BBQ,Alamo / Frontier by Alamo,Food Truck
Intergalactic Tacos,5,95,4.0,BBQ,Alamo / Frontier by Alamo,Food Truck
Blanchards,11,146,1.0,BBQ,Alamo / Frontier by Alamo,Cafe
Lamplighter Coffee Roasters,7,109,2.0,BBQ,Alamo / Frontier by Alamo,Cafe
Riverbend Roastery,6,49,9.0,BBQ,Alamo / Frontier by Alamo,Cafe
Black Hand Coffee Co.,6,33,14.0,BBQ,Alamo / Frontier by Alamo,Cafe
WHISK,5,40,13.0,BBQ,Alamo / Frontier by Alamo,Cafe
Zorch,9,229,1.0,BBQ,Deep Run Roadhouse,Pizza
Hot For Pizza,8,95,5.0,BBQ,Deep Run Roadhouse,Pizza
8 ½ in The Fan,6,118,4.0,BBQ,Deep Run Roadhouse,Pizza
Belmont Pizza,6,120,3.0,BBQ,Deep Run Roadhouse,Pizza
Tazza Kitchen,5,21,17.0,BBQ,Deep Run Roadhouse,Pizza
TBT El Gallo,9,166,2.0,BBQ,Deep Run Roadhouse,Tacos
En Su Boca,7,111,4.0,BBQ,Deep Run Roadhouse,Tacos
Cabo Fish Taco,6,184,1.0,BBQ,Deep Run Roadhouse,Tacos
Blue Habanero,5,41,9.0,BBQ,Deep Run Roadhouse,Tacos
El Chido,5,98,5.0,BBQ,Deep Run Roadhouse,Tacos
Beauvine Burger Concept,14,180,2.0,BBQ,Deep Run Roadhouse,Burgers
Cobra Burger,14,317,1.0,BBQ,Deep Run Roadhouse,Burgers
Boulevard Burger and Brew,9,110,4.0,BBQ,Deep Run Roadhouse,Burgers
Smashed RVA,4,154,3.0,BBQ,Deep Run Roadhouse,Burgers
Burgerworks,4,19,15.0,BBQ,Deep Run Roadhouse,Burgers
Garnetts,11,173,1.0,BBQ,Deep Run Roadhouse,Sandwich
Chioccas,10,126,4.0,BBQ,Deep Run Roadhouse,Sandwich
Coppolas Deli,9,132,3.0,BBQ,Deep Run Roadhouse,Sandwich
Stanleys,7,158,2.0,BBQ,Deep Run Roadhouse,Sandwich
Secret Sandwich Society,6,120,5.0,BBQ,Deep Run Roadhouse,Sandwich
Lucky AF,12,268,1.0,BBQ,Deep Run Roadhouse,Sushi
Akida,10,196,2.0,BBQ,Deep Run Roadhouse,Sushi
Red Salt Chophouse and Sushi,7,45,9.0,BBQ,Deep Run Roadhouse,Sushi
Fighting Fish,7,126,3.0,BBQ,Deep Run Roadhouse,Sushi
LEVEL,7,66,7.0,BBQ,Deep Run Roadhouse,Sushi
Goatocado,16,182,1.0,BBQ,Deep Run Roadhouse,Veg
821 Cafe,9,147,2.0,BBQ,Deep Run Roadhouse,Veg
NuVegan Cafe,5,47,8.0,BBQ,Deep Run Roadhouse,Veg
Nile Ethiopian,5,93,4.0,BBQ,Deep Run Roadhouse,Veg
Fresca on Addison,4,49,7.0,BBQ,Deep Run Roadhouse,Veg
Moms Siam,10,114,5.0,BBQ,Deep Run Roadhouse,Curry
Lemon Cuisine of India,8,183,1.0,BBQ,Deep Run Roadhouse,Curry
Mekong,8,128,3.0,BBQ,Deep Run Roadhouse,Curry
India K Raja Restaurant,7,28,15.0,BBQ,Deep Run Roadhouse,Curry
Sabai,6,140,2.0,BBQ,Deep Run Roadhouse,Curry
Mekong,13,210,2.0,BBQ,Deep Run Roadhouse,Noodles
Vietnam 1,10,76,7.0,BBQ,Deep Run Roadhouse,Noodles
Pho Thein Phat / Pho So 1,10,125,3.0,BBQ,Deep Run Roadhouse,Noodles
Pho Tay Do,9,248,1.0,BBQ,Deep Run Roadhouse,Noodles
Pho Luca,6,106,4.0,BBQ,Deep Run Roadhouse,Noodles
City Dogs,20,294,1.0,BBQ,Deep Run Roadhouse,Hot Dogs
The Boardwalk,6,58,8.0,BBQ,Deep Run Roadhouse,Hot Dogs
Joeys Hot Dogs,6,62,7.0,BBQ,Deep Run Roadhouse,Hot Dogs
Melitos,5,57,9.0,BBQ,Deep Run Roadhouse,Hot Dogs
Ellies Hot Dogs and Ice Cream,3,69,6.0,BBQ,Deep Run Roadhouse,Hot Dogs
Fat Dragon,12,209,1.0,BBQ,Deep Run Roadhouse,Fried Rice
Peter Chang Richmond,6,128,2.0,BBQ,Deep Run Roadhouse,Fried Rice
Mekong,6,89,3.0,BBQ,Deep Run Roadhouse,Fried Rice
Moms Siam,5,50,5.0,BBQ,Deep Run Roadhouse,Fried Rice
Full Kee,4,44,7.0,BBQ,Deep Run Roadhouse,Fried Rice
SBs Main Street Love Shack,13,107,4.0,BBQ,Deep Run Roadhouse,Breakfast
